state_id,boundary_date,oat_2029_fr0014016g71_bn_eur,oat_2031_fr001400z2l7_bn_eur,oat_2032_fr0014018oi0_bn_eur,total_bn_eur,active_2029,active_2031,active_2032,delta_2029_bn_eur,delta_2031_bn_eur,delta_2032_bn_eur
T0,2025-12-31,0.000,38.875,0.000,38.875,0,1,0,0.000,0.000,0.000
T1,2026-01-26,0.000,41.345,0.000,41.345,0,1,0,0.000,2.470,0.000
T2,2026-02-23,6.294,45.518,0.000,51.812,1,1,0,6.294,4.173,0.000
T3,2026-03-23,10.195,49.719,0.000,59.914,1,1,0,3.901,4.201,0.000
T4,2026-04-20,15.411,55.790,0.000,71.201,1,1,0,5.216,6.071,0.000
T5,2026-05-25,18.858,55.790,7.290,81.938,1,1,1,3.447,0.000,7.290
T6,2026-06-22,22.858,55.790,12.590,91.238,1,1,1,4.000,0.000,5.300
T7,2026-07-20,26.835,55.790,18.430,101.055,1,1,1,3.977,0.000,5.840
T8,2026-08-24,30.313,60.070,24.260,114.643,1,1,1,3.478,4.280,5.830
