date_evenement,date_reglement,type_evenement,volume_adjuge_m_eur,volume_total_emis_m_eur,onc2_implicite_m_eur,encours_cumule_m_eur,prix_moyen_pondere,taux_moyen_pondere_pct,isin,echeance,coupon_pct
2026-02-13,,creation,,,,0,,,FR0014016G71,2029-09-24,2.40
2026-02-19,2026-02-23,adjudication,6294,6294,0,6294,100.00,2.40,FR0014016G71,2029-09-24,2.40
2026-03-19,2026-03-23,reouverture,3901,3901,0,10195,98.49,2.86,FR0014016G71,2029-09-24,2.40
2026-04-16,2026-04-20,reouverture,4355,5216,861,15411,98.57,2.84,FR0014016G71,2029-09-24,2.40
2026-05-21,2026-05-25,reouverture,2880,3447,567,18858,98.31,2.94,FR0014016G71,2029-09-24,2.40
2026-06-18,2026-06-22,reouverture,4000,4000,0,22858,98.61,2.85,FR0014016G71,2029-09-24,2.40
2026-07-16,2026-07-20,reouverture,3977,3977,0,26835,98.09,3.04,FR0014016G71,2029-09-24,2.40
2026-08-20,2026-08-24,reouverture,2720,3478,758,30313,97.77,3.17,FR0014016G71,2029-09-24,2.40
